1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
0.00036619;0.00035077;0.000339;0.00035219;0.00035192;0.00033632;0.00033022;0.00029947;0.00028973;0.00027029;0.00026189;0.00025859;0.0002563;0.00023916;0.000228;0.00021603;0.0002134;0.0002064;0.0001984;0.00020169;0.00019311;0.00018902;0.00017904;0.00018138;0.0001695;0.0001599;0.00014088;0.00012974;0.00012415;0.0001285;0.00011274;0.00011546;0.00009966;0.00009396;0.00009314;0.00011113;0.00010732;0.00010518;0.00009397;0.00009119;0.00007875;0.0000816
0.00039976;0.00038324;0.00036791;0.00037312;0.0003647;0.0003626;0.0003643;0.00033995;0.00032223;0.00029985;0.00028679;0.00027823;0.00027441;0.00025794;0.00024831;0.00023445;0.00023685;0.00023472;0.00023105;0.00023814;0.00022206;0.00021852;0.00021132;0.00021749;0.00020108;0.00018759;0.00017337;0.00015777;0.00014082;0.00014453;0.00012578;0.00013388;0.00012708;0.00011623;0.00010975;0.00012566;0.00012197;0.00011664;0.00010496;0.00010253;0.00009272;0.00009178
0.00047508;0.00045705;0.00043615;0.00042977;0.00040967;0.00043095;0.0004387;0.00043592;0.00040577;0.00036846;0.00034437;0.00032818;0.00032277;0.00029919;0.00029708;0.00028858;0.00030228;0.00030489;0.00030757;0.00030927;0.00029322;0.00028303;0.00027436;0.00027217;0.000256;0.0002468;0.00023043;0.00020928;0.00018577;0.00018066;0.00016422;0.00016658;0.00015588;0.00015493;0.00014863;0.00015909;0.00015002;0.00014408;0.0001274;0.00012382;0.00011577;0.00011629
0.00059049;0.00056696;0.00054303;0.00053585;0.00051075;0.00052051;0.0005516;0.00055278;0.00053031;0.00048895;0.00045385;0.00043825;0.00041823;0.0003926;0.00038506;0.00038317;0.00040703;0.00042128;0.000435;0.0004218;0.00040677;0.00038712;0.00037237;0.00035603;0.00034181;0.00032794;0.00029857;0.00027465;0.0002619;0.00024218;0.00022768;0.00021444;0.00020692;0.00021511;0.00021118;0.00022716;0.00019765;0.00018734;0.00016085;0.00015914;0.00014815;0.00015159
0.00073856;0.00069567;0.00066702;0.00067003;0.00066027;0.00066193;0.00069869;0.00070406;0.00070746;0.00066349;0.00062474;0.00060443;0.0005623;0.00054041;0.00051978;0.00053013;0.0005779;0.00059333;0.00061356;0.00058537;0.00056909;0.00052813;0.00050345;0.00047221;0.00044751;0.00042202;0.00038413;0.00036293;0.0003571;0.00033906;0.00030935;0.00028385;0.00028288;0.00029133;0.00029035;0.00029705;0.00025902;0.00024964;0.00022085;0.00020661;0.00019231;0.00019703
0.00091122;0.00086508;0.0008296;0.00081417;0.00080194;0.00079529;0.00085145;0.00085606;0.00087591;0.0008384;0.00078802;0.00077045;0.00072117;0.00070453;0.00067814;0.00070561;0.00075252;0.00078032;0.00079846;0.00077642;0.00075018;0.00069664;0.00066635;0.00062588;0.00057829;0.00053698;0.00050303;0.00048065;0.00047672;0.00046182;0.00043139;0.00039737;0.00037736;0.00038671;0.00038442;0.00038216;0.00034398;0.00033745;0.00029164;0.00027193;0.00024913;0.00024832
0.00107039;0.00102445;0.00097544;0.00095322;0.00092945;0.00091811;0.00097012;0.00096744;0.00098286;0.00095215;0.00091855;0.00091042;0.00085256;0.00083771;0.00080141;0.00084311;0.00087497;0.00091631;0.00093012;0.00091174;0.0008915;0.00085181;0.00081785;0.00077107;0.00071433;0.00065517;0.00061585;0.0005926;0.00058906;0.00057689;0.0005482;0.00051642;0.00048146;0.00047065;0.00047236;0.0004592;0.00042156;0.00040232;0.00035228;0.00033102;0.00030127;0.0003011
0.00111506;0.00109701;0.00105746;0.00104563;0.00100006;0.00099433;0.00103359;0.00104619;0.00104871;0.00102063;0.00097382;0.00099107;0.00094008;0.00093918;0.00088756;0.0009121;0.00093404;0.00097725;0.00101066;0.00100129;0.00097963;0.00095918;0.0009334;0.00088446;0.00082248;0.0007676;0.00074268;0.00071084;0.00068201;0.00066067;0.0006374;0.00061893;0.00056905;0.00054052;0.00052935;0.00052542;0.00048762;0.00046495;0.00040776;0.00039663;0.00035315;0.00034717
0.00112396;0.00110246;0.00108957;0.00109751;0.00103836;0.00104535;0.00104174;0.00107337;0.00103765;0.00102223;0.00097257;0.0010126;0.00099656;0.00099686;0.0009488;0.00096069;0.00097751;0.00103238;0.00106726;0.00105632;0.0010283;0.00101582;0.00100412;0.000965;0.00090898;0.00087884;0.0008614;0.00081949;0.00074939;0.0007142;0.00070387;0.00069292;0.00063741;0.00058036;0.00056091;0.0005497;0.00052873;0.00050172;0.00045187;0.00044221;0.00039438;0.00038147
0.00111584;0.00107542;0.00108763;0.00111892;0.00106333;0.00105279;0.00104304;0.00105396;0.00102028;0.00100547;0.00098215;0.00100955;0.001007;0.00101203;0.00099564;0.00100477;0.0010183;0.00105738;0.00110664;0.00107728;0.00103779;0.0010259;0.00101609;0.00101022;0.00097185;0.00095971;0.00092917;0.00088143;0.00079321;0.00073374;0.00071967;0.0007214;0.00068865;0.00063534;0.00060792;0.00060154;0.00056466;0.00052339;0.00047364;0.0004627;0.0004232;0.00040745
